movie_title,actor_1_facebook_likes,gross,language,director_name,title_year,genres,movie_facebook_likes,season,movie_imdb_link,movie_lens_rating,imdb_score,plot_keywords,aspect_ratio,num_critic_for_reviews,country,duration,facenumber_in_poster,director_facebook_likes,week_day,actor_3_name,num_user_for_reviews,color,date,cast_total_facebook_likes,actor_2_name,actor_3_facebook_likes,num_voted_users,actor_1_name,actor_2_facebook_likes,budget
2016: Obamas America,871,33349949,English,Dinesh DSouza,2012,Documentary,0,summer,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,4,5.1,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,1.85,30,USA,87,0,67,4,Dinesh DSouza,199,Color,8/24/2012 0:00,1111,Zackary Steven Graham,67,9010,Barack Obama,118,2500000
A Beginners Guide to Snuff,467,,English,Mitchell Altieri,2016,Comedy|Horror|Thriller,8,Fail,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,2,8.7,,,,USA,87,0,9,No_Date,Bree Williamson,,Color,No date,1270,Luke Edwards,165,13,Kimberley Crossman,258,
A Bugs Life,18000,162792677,English,John Lasseter,1998,Adventure|Animation|Comedy|Family|Fantasy,0,fall,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,3,7.2,ant|circus|grasshopper|misunderstanding|overhearing,2.35,117,USA,95,0,487,2,John Ratzenberger,317,Color,11/25/1998 0:00,24205,Madeline Kahn,1000,211226,Kevin Spacey,1000,120000000
A Dogs Breakfast,847,,English,David Hewlett,2007,Comedy,377,Fail,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,,7,dog|vegetarian,1.78,8,Canada,88,2,686,No_Date,Paul McGillion,46,Color,No date,2364,David Hewlett,405,3262,Christopher Judge,686,120000
A Dogs Breakfast,847,,English,David Hewlett,2007,Comedy,377,Fail,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,3.5,7,dog|vegetarian,1.78,8,Canada,88,2,686,No_Date,Paul McGillion,46,Color,No date,2364,David Hewlett,405,3262,Christopher Judge,686,120000
A Hard Days Night,785,515005,English,Richard Lester,1964,Comedy|Musical,0,summer,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,3,7.7,boy|concert|drummer|manager|television,1.75,105,UK,87,1,44,0,George Harrison,219, Black and White,7/6/1964 0:00,2538,Ringo Starr,704,31429,Paul McCartney,725,560000
A Knights Tale,13000,56083966,English,Brian Helgeland,2001,Action|Adventure|Romance,0,spring,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,1.5,6.9,chaucer|jousting|knight|medieval times|tournament,2.35,167,USA,144,1,241,4,B\xc3\xa9r\xc3\xa9nice Bejo,658,Color,5/11/2001 0:00,18761,Rufus Sewell,996,137003,Heath Ledger,3000,65000000
A Nightmare on Elm Street 2: Freddys Revenge,426,30000000,English,Jack Sholder,1985,Fantasy|Horror,0,fall,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,1,5.4,freddy krueger|gay|gay subtext|homoeroticism|jock strap,1.85,138,USA,87,0,28,4,Marshall Bell,327,Color,11/1/1985 0:00,1472,Robert Rusler,217,43485,Clu Gulager,359,2200000
A Turtles Tale: Sammys Adventures,783,,English,Ben Stassen,2010,Adventure|Animation|Family,0,summer,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,3,6.1,apostrophe in title|character name in title|punctuation in title|sea turtle,2.35,56,France,88,2,4,2,Stacy Keach,22,Color,8/4/2010 0:00,3874,Jenny McCarthy,602,5385,Ed Begley Jr.,749,
A Warriors Tail,114,,Russian,Maksim Fadeev,2015,Adventure|Animation|Fantasy,161,Fail,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,4.5,4.1,battle|creature|hyena|monkey|village,,5,Russia,85,1,0,No_Date,Sergey Garmash,7,Color,No date,229,Fedor Bondarchuk,21,393,Konstantin Khabenskiy,35,30000000
Alexanders Ragtime Band,480,,English,Henry King,1938,Drama|Musical|Romance,60,summer,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,3,7,band|dance|ragtime|singer|violinist,1.37,10,USA,106,2,85,1,John Carradine,29, Black and White,8/16/1938 0:00,1833,Don Ameche,300,1381,Tyrone Power,392,2000000
All the Kings Men,14000,7221458,English,Steven Zaillian,2006,Drama|Thriller,0,fall,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,0.5,6.2,governor|journalist|louisiana|mistress|politician,1.85,127,Germany,128,0,234,4,Kevin Dunn,178, Black and White,9/22/2006 0:00,27614,Anthony Hopkins,581,20740,Kate Winslet,12000,55000000
All the Queens Men,776,22723,English,Stefan Ruzowitzky,2001,Action|Comedy|Drama|War,193,fall,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,3.5,4.5,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,2.35,19,Germany,105,1,24,3,Edward Fox,40,Color,12/13/2001 0:00,1732,Udo Kier,125,2236,Eddie Izzard,595,25000000
Alleluia! The Devils Carnival,636,,English,Darren Lynn Bousman,2016,Horror|Musical,707,Fail,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,2,7.4,carnival|devil|redemption|reference to god,1.78,10,USA,97,5,163,No_Date,Terrance Zdunich,20,Color,No date,2438,Barry Bostwick,303,259,Paul Sorvino,456,500000
Americas Sweethearts,8000,93607673,English,Joe Roth,2001,Comedy|Romance,881,summer,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,,5.7,actor|love|movie star|press|publicist,2.35,142,USA,102,4,148,4,Larry King,343,Color,7/20/2001 0:00,9176,Rainn Wilson,135,47573,Julia Roberts,973,48000000
Amidst the Devils Wings,569,,English,Daniel Columbie,2014,Action|Crime|Drama,17,Fail,http://www.imdb.com/title/tt3976258/?ref_=fn_tt_tt_1,2.5,4.3,,,,USA,90,0,0,No_Date,Barbie Castro,,Color,No date,1461,Nicholas Simmons,185,28,Keri Maletto,553,300000
Andersons Cross,500,,English,Jerome Elston Scott,2010,Comedy|Drama|Romance,7,spring,http://www.imdb.com/title/tt0393049/?ref_=fn_tt_tt_1,,7.2,divorce|marriage|mother daughter relationship|sex|teenage boy,,8,USA,98,7,3,3,Ryan Carnes,7,Color,5/20/2010 0:00,1545,Joanna Cassidy,248,95,Taran Killam,317,300000
Angelas Ashes,876,13038660,English,Alan Parker,1999,Drama,0,winter,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,,7.3,drink|ira|irish|limerick|prejudice,1.85,99,USA,145,1,317,4,Pauline McLynn,163,Color,1/21/2000 0:00,1282,Devon Murray,70,16995,Emily Watson,219,25000000
Animal Kingdom: Lets go Ape,326,,French,Jamel Debbouze,2015,Adventure|Animation|Comedy|Family,161,Fail,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,0.5,4.9,ape|computer animation|evolution|first person title|reference to louis de funes,,9,France,101,0,326,No_Date,M\xc3\xa9lissa Theuriau,5,Color,No date,488,Youssef Hajdi,6,590,Jamel Debbouze,152,
April Fools Day,690,12947763,English,Fred Walton,1986,Horror|Mystery,0,spring,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,,6.2,april fool's day|island|mansion|psycho|secret,2.35,96,USA,89,0,17,4,Clayton Rohner,125,Color,3/28/1986 0:00,1160,Deborah Foreman,85,10624,Thomas F. Wilson,190,5000000
Babys Day Out,1000,16671505,English,Patrick Read Johnson,1994,Adventure|Comedy|Crime|Drama|Family,0,summer,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,1.5,5.9,baby|baby boy|kidnapping|kidnapping a child|taxi,1.85,22,USA,99,1,32,4,Cynthia Nixon,78,Color,7/1/1994 0:00,2949,Lara Flynn Boyle,479,33186,Joe Mantegna,619,50000000
Barneys Great Adventure,595,11144518,English,Steve Gomer,1998,Adventure|Family,436,spring,http://www.imdb.com/title/tt0120598/?ref_=fn_tt_tt_1,,2.8,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,1.85,24,Canada,76,0,9,4,Shirley Douglas,53,Color,4/3/1998 0:00,1139,Kyla Pratt,47,2724,Trevor Morgan,417,15000000
Barneys Version,891,7501404,English,Richard J. Lewis,2010,Comedy|Drama,0,winter,http://www.imdb.com/title/tt1423894/?ref_=fn_tt_tt_1,5,7.3,ex wife|guest|marriage|memory|montreal,2.35,193,Canada,134,2,12,4,Paul Gross,87,Color,2/18/2011 0:00,1873,Atom Egoyan,329,21086,Mark Addy,460,
Big Mommas House 2,17000,70163652,English,John Whitesell,2006,Comedy|Crime,663,winter,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,,4.6,cheerleading|fbi|fbi agent|nanny|undercover,1.85,65,USA,99,0,14,4,Marisol Nichols,82,Color,1/27/2006 0:00,19334,Nia Long,633,31968,Chlo\xc3\xab Grace Moretz,826,40000000
Big Mommas House,826,117559438,English,Raja Gosnell,2000,Action|Comedy|Crime,1000,spring,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,,5.1,disguise|fbi|female impersonation|gender disguise|obesity,1.85,100,USA,99,1,67,4,Tichina Arnold,148,Color,6/2/2000 0:00,1790,Cedric the Entertainer,330,66941,Nia Long,436,30000000
Bill & Teds Bogus Journey,18000,38037513,English,Peter Hewitt,1991,Adventure|Comedy|Fantasy|Music|Sci-Fi,0,summer,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,4,6.2,battle of the bands|bill and ted|heaven|hell|robot,1.85,43,USA,93,2,12,4,Alex Winter,117,Color,7/19/1991 0:00,20188,George Carlin,636,49680,Keanu Reeves,769,20000000
Bill & Teds Excellent Adventure,18000,40485039,English,Stephen Herek,1989,Adventure|Comedy|Music|Sci-Fi,0,winter,http://www.imdb.com/title/tt0096928/?ref_=fn_tt_tt_1,4.5,6.9,failing student|high school|payphone|teenager|telephone booth,2.35,81,USA,90,6,65,4,Al Leong,181,Color,2/17/1989 0:00,20795,George Carlin,730,85362,Keanu Reeves,769,10000000
